year,region,npg,birth_rate,death_rate,migratory_growth,population
1990,Republic of Adygea,1.9,14.2,12.3,,434788.0
1990,Altai Krai,1.8,12.9,11.1,,2640419.0
1990,Amur Oblast,7.6,16.2,8.6,,1055337.0
1990,Arkhangelsk Oblast,3.7,13.5,9.8,,1523509.0
1990,Astrakhan Oblast,4.7,15.1,10.4,,997516.0
1990,Republic of Bashkortostan,6.5,16.2,9.7,,3941321.0
1990,Belgorod Oblast,0.0,12.9,12.9,,1387455.0
1990,Bryansk Oblast,0.1,13.0,12.9,,1470953.0
1990,Republic of Buryatia,9.2,18.3,9.1,,1048063.0
1990,Vladimir Oblast,-0.4,12.1,12.5,,1657068.0
1990,Volgograd Oblast,1.3,13.0,11.7,,2620147.0
1990,Vologda Oblast,1.4,13.4,12.0,,1354471.0
1990,Voronezh Oblast,-2.4,11.5,13.9,,2471569.0
1990,Republic of Dagestan,19.9,26.1,6.2,,1820164.0
1990,Jewish Autonomous Oblast,8.2,17.8,9.6,,218330.0
1990,Zabaykalsky Krai,8.4,17.6,9.2,,1320562.0
1990,Ivanovo Oblast,-2.4,11.6,14.0,,1295215.0
1990,Republic of Ingushetia,,,,,189340.0
1990,Irkutsk Oblast,6.2,16.2,10.0,,2794858.0
1990,Kabardino-Balkar Republic,11.5,20.0,8.5,,762288.0
1990,Kaliningrad Oblast,2.8,12.6,9.8,,881211.0
1990,Republic of Kalmykia,12.7,20.9,8.2,,325040.0
1990,Kaluga Oblast,-0.5,12.0,12.5,,1068443.0
1990,Kamchatka Krai,6.2,12.4,6.2,,476911.0
1990,Karachay-Cherkess Republic,8.8,17.1,8.3,,419136.0
1990,Republic of Karelia,3.1,13.3,10.2,,791719.0
1990,Kemerovo Oblast,1.6,12.9,11.3,,3099236.0
1990,Kirov Oblast,0.9,13.0,12.1,,1651726.0
1990,Kostroma Oblast,-0.8,12.7,13.5,,804999.0
1990,Krasnodar Krai,-0.1,13.2,13.3,,4638102.0
1990,Krasnoyarsk Krai,4.5,13.8,9.3,,3155929.0
1990,Republic of Crimea,,,,,2065829.0
1990,Kurgan Oblast,3.1,14.5,11.4,,1107280.0
1990,Kursk Oblast,-2.0,11.9,13.9,,1332957.0
1990,Leningrad Oblast,-1.5,11.0,12.5,,1667280.0
1990,Lipetsk Oblast,-0.7,12.1,12.8,,1231486.0
1990,Magadan Oblast,8.0,13.6,5.6,,390276.0
1990,Mari El Republic,5.5,15.8,10.3,,753698.0
1990,Republic of Mordovia,2.0,13.4,11.4,,963778.0
1990,Moscow,-2.2,10.6,12.8,,8880124.0
1990,Moscow Oblast,-2.0,10.2,12.2,,6700180.0
1990,Murmansk Oblast,5.4,11.2,5.8,,1191468.0
1990,Nenets Autonomous Okrug,10.3,17.7,7.4,,51993.0
1990,Nizhny Novgorod Oblast,-1.6,11.3,12.9,,3780256.0
1990,Novgorod Oblast,-1.8,12.3,14.1,,753369.0
1990,Novosibirsk Oblast,2.4,13.2,10.8,,2742075.0
1990,Omsk Oblast,5.6,14.9,9.3,,2152578.0
1990,Orenburg Oblast,5.8,15.5,9.7,,2151097.0
1990,Oryol Oblast,-0.7,12.3,13.0,,895123.0
1990,Penza Oblast,0.1,12.0,11.9,,1546079.0
1990,Perm Krai,2.8,13.9,11.1,,3027958.0
1990,Primorsky Krai,5.5,14.6,9.1,,2296684.0
1990,Pskov Oblast,-3.2,11.9,15.1,,844140.0
1990,Altai Republic,8.4,19.3,10.9,,193275.0
1990,Komi Republic,6.1,13.6,7.5,,1248891.0
1990,Tuva Republic,17.7,26.3,8.6,,312576.0
1990,Rostov Oblast,0.0,12.5,12.5,,4307956.0
1990,Ryazan Oblast,-2.4,11.6,14.0,,1350263.0
1990,Samara Oblast,1.2,12.3,11.1,,3236370.0
1990,Saint Petersburg,-1.4,10.9,12.3,,5002444.0
1990,Saratov Oblast,1.6,13.4,11.8,,2697733.0
1990,Sakhalin Oblast,6.1,14.2,8.1,,713981.0
1990,Sverdlovsk Oblast,1.0,12.1,11.1,,4765879.0
1990,Sevastopol,,,,,392826.0
1990,Republic of North Ossetia-Alania,7.4,16.9,9.5,,646348.0
1990,Smolensk Oblast,-1.4,11.9,13.3,,1158429.0
1990,Stavropol Krai,3.2,14.8,11.6,,2435834.0
1990,Tambov Oblast,-3.2,11.7,14.9,,1319338.0
1990,Republic of Tatarstan,5.5,15.4,9.9,,3653969.0
1990,Tver Oblast,-3.4,11.5,14.9,,1666534.0
1990,Tomsk Oblast,3.9,12.6,8.7,,1075182.0
1990,Tula Oblast,-4.3,10.2,14.5,,1856206.0
1990,Tyumen Oblast,9.6,15.9,6.3,,1394091.0
